"Date","Analyst Name","Firm Name","Adjusted Price Target","Adjusted Previous Price Target","Rating Change","Current Rating","Previous Rating"
"2018-01-30","Sam Pearlstein","Wells Fargo","355","340","Maintains","Market Perform","Market Perform"
"2018-01-30","","Citigroup","400","355","Maintains","Buy","Buy"
"2018-01-30","Peter Arment","Baird","410","337","Maintains","Outperform","Outperform"
"2018-01-30","Robert Spingarn","Credit Suisse","380","308","Maintains","Neutral","Neutral"
"2018-01-30","Joseph DeNardi","Stifel","400","345","Maintains","Buy","Buy"
"2018-01-16","Sam Pearlstein","Wells Fargo","","","Downgrades","Market Perform","Outperform"
"2017-10-25","Erin Wright","Credit Suisse","308","300","Maintains","Neutral",""
"2017-10-25","Joseph DeNardi","Stifel","340","320","Maintains","Buy",""
"2017-10-05","Richard Safran","Buckingham Research","348","316","Maintains","Buy",""
"2017-08-08","Rajeev Lalwani","Morgan Stanley","342","","Initiates Coverage On","Overweight",""
"2017-01-12","","RBC Capital","265","","Initiates Coverage On","Sector Perform",""
"2016-12-05","Myles Walton","Deutsche Bank","300","270","Maintains","Buy",""
"2016-11-14","Joseph DeNardi","Stifel","290","260","Upgrades","Buy","Hold"
"2016-11-10","","Barclays","275","245","Upgrades","Equal-Weight","Underweight"
"2016-11-09","Myles Walton","Deutsche Bank","","","Upgrades","Buy","Hold"
"2016-10-06","Peter Arment","Baird","284","","Initiates Coverage On","Outperform",""
"2016-10-03","","Barclays","245","250","Maintains","Underweight",""
"2016-09-19","","Wells Fargo","","","Upgrades","Outperform","Market Perform"
"2016-09-07","","Citigroup","284","239","Maintains","Buy",""
"2016-09-06","","Citigroup","284","239","Maintains","Buy",""
"2016-08-25","","JP Morgan","","","Initiates Coverage On","Neutral",""
"2016-08-24","Noah Poponak","Goldman Sachs","245","","Assumes","Neutral",""
"2016-05-31","","Berenberg","","","Downgrades","Hold","Buy"
"2016-05-19","","RBC Capital","","","Downgrades","Sector Perform","Outperform"
"2016-05-13","Joseph DeNardi","Stifel","","","Downgrades","Hold","Buy"
"2016-05-02","","Barclays","225","215","Maintains","Underweight",""
"2016-03-17","","Berenberg","","","Initiates Coverage On","Buy",""
"2016-02-16","","Barclays","215","210","Maintains","Underweight",""
"2016-01-27","","Credit Suisse","225","236","Maintains","Neutral",""
"2016-01-27","Michael Maugeri","Wolfe Research","","","Upgrades","Outperform","Peer Perform"
